test_no,rel,rel_clustered,l_rank,r_rank,l_rank_clustered,r_rank_clustered
3469,1059,950,21387,5411,256072,1316
3472,1062,296,547,1,10649,76475
3473,1062,296,227632,1322030,2136123,1281229
3474,1062,296,148745,7,1111092,37452
3475,1062,296,3279,250015,113496,4375
3476,1062,296,940391,1615346,245243,1629212
3477,1063,584,4156,118638,6854,14483
3484,1078,575,768684,12564,571257,21289
3485,1078,575,2138293,445675,1946156,664141
3486,1079,511,1161,1044,3785,143795
3488,1084,222,81059,3992,9687,5421
3489,1085,267,130448,3385,218145,10394
3490,1087,705,1171438,481635,765447,609718
3491,1087,705,8870,1107,3939,7833
3492,1087,705,9265,539,19808,10787
3493,1087,705,24746,633301,413594,2240048
3497,1092,54,3595,0,1412202,2103943
3498,1095,330,403763,1188287,197492,249879
3499,1095,330,3844,879,110183,52275
3500,1096,74,4585,241,280976,1632462
3502,1099,97,2133487,1637454,2161836,1518332
3505,1105,171,9799,3486,474056,849630
3507,1109,886,4130,336187,1500316,163315
3508,1110,194,43,36,629,81
3509,1112,56,696,2886,9116,7154
3510,1112,56,1904,307,31054,10997
3512,1114,106,17185,28294,995988,897192
3513,1116,240,2971,51635,6744,824233
3514,1116,240,2038896,1769417,681612,1385355
3515,1118,891,6265,79,1203,1365
3516,1119,191,94095,11,1117630,332755
3517,1120,0,681,798,14847,34225
3518,1120,0,1633897,1485083,1437213,982698
3525,1133,365,165029,4847,1805352,875439
3526,1133,365,3315,1,1949983,609863
3527,1134,398,6234,279374,19587,30694
3528,1134,398,19910,16792,261523,463757
3529,1138,433,504801,14780,1387780,265023
3530,1138,433,31,1,30626,1510589
3531,1138,433,37,1065,3904,983
3532,1141,6,0,5,16946,165935
3533,1142,171,0,39055,1987607,383882
3534,1142,171,1,1264406,2134716,2076595
3535,1142,171,2,1357769,2057318,1111677
3536,1142,171,0,1200476,1858078,459972
3537,1143,85,1014157,1041113,264596,1668669
3538,1146,773,599959,1857953,65449,1803416
3539,1146,773,1678924,631975,1522586,578300
3540,1146,773,586975,1633784,1521323,1847017
3541,1147,267,371602,796467,581653,844564
3542,1148,112,104,3,6029,11036
3543,1148,112,2193374,919221,1692563,1794990
3544,1149,17,45786,1563,16095,753
3545,1149,17,353719,925003,782697,924283
3546,1151,26,1303408,623766,696153,1928469
3547,1152,79,310202,1466910,2166424,661692
3549,1155,82,15,4322,19926,356982
3550,1156,62,13702,11994,1987022,159451
3552,1158,631,392,175509,798224,555819
3553,1159,600,91269,855,111279,1771
3554,1160,149,16179,1766,31438,4390
3555,1161,12,28608,433,25740,2730
3556,1162,493,23,222,132,522
3557,1162,493,54,38,91,297
3558,1162,493,825,42763,320,84
3559,1164,26,13290,7058,35363,3649
3561,1166,994,2218807,2254118,947861,3241
3562,1166,994,887432,176046,1972119,866882
3563,1167,120,358,69,18994,6395
3564,1167,120,649,1318,13859,31542
3565,1168,995,6058,69282,939220,1060704
3566,1171,338,1588734,1755080,1811408,1589616
3567,1172,772,6349,109104,2758,59497
3568,1172,772,3693,206,613,835
3569,1174,432,2101,17726,7867,46316
3570,1174,432,150341,154359,88614,53206
3571,1176,196,1792592,18154,1410170,6673
3574,1178,757,67732,24456,923288,927666
3575,1178,757,382279,181104,386903,1731763
3576,1180,153,677,9337,4590,22791
3577,1180,153,77,6,6367,124838
3578,1180,153,292,21,1190,84290
3579,1181,82,29773,90439,37970,61889
3580,1183,73,775,429,518,670
3581,1185,465,635,2,12124,165991
3582,1185,465,31636,36024,133458,1691249
3586,1189,32,890,275,36,503
3587,1189,32,1543397,2136451,1848986,2056583
3588,1189,32,1715878,202811,445493,97504
3590,1192,772,1866134,1943777,1656679,1756990
3591,1192,772,212066,219644,2095565,1563448
3592,1194,330,5882,1432,3812,7389
3593,1195,173,1044,7760,1601,35808
3594,1199,49,0,132,64828,33
3595,1199,49,230676,9873,311562,109
3596,1199,49,220962,95468,1445405,913
3601,1201,275,8572,5,3862,2689
3603,1204,28,23,27,216314,53732
3604,1205,125,714730,509,1823854,745321
3605,1206,0,1837,5118,3240,11583
3606,1206,0,222,5769,2128,12150
3607,1211,995,180,16,2149,235063
3608,1213,54,1396508,1072537,1425176,866736
3609,1214,140,624,1828,679,6517
3610,1214,140,982,68163,186,54130
3611,1214,140,9048,127870,5773,122819
3612,1215,2,1989863,2124898,1600842,2248667
3613,1216,754,165,409,1268,210
3614,1216,754,378350,3245,273475,434891
3615,1219,134,600,2760,95790,8892
3617,1221,567,8060,39221,928350,689489
3619,1226,660,1520538,2040227,2099086,1673295
3620,1228,491,1810,270,13646,68998
3621,1229,772,58439,941211,89148,2143574
3622,1231,922,15864,185,64546,13310
3623,1234,666,1506,490,43014,592963
3624,1236,868,261,125,2029,4745
3625,1237,171,1013,21327,1442,330319
3626,1237,171,34018,71570,30832,4348
3629,1251,359,48989,315941,2773,24556
3630,1252,217,1123021,293492,1067838,96948
3633,1254,364,1002,1532,26023,883
3636,1257,306,4320,18350,6196,6793
3637,1259,64,7,21,3024,698
3640,1267,194,1208,538,2241,255
3644,1274,111,108054,139163,24992,112406
3646,1276,241,880,89290,3296,36611
3647,1276,241,120233,8219,769245,71299
3648,1277,0,35207,29704,100620,2142192
3650,1281,1019,358,422,392,38
3651,1284,387,5,5352,66,26340
3652,1284,387,2,414117,1,364878
3653,1286,40,1232977,1546884,524310,1743970
3654,1287,453,113526,148514,260247,29026
3655,1291,14,95950,10062,62696,313252
3656,1293,431,637046,3152,749983,584898
3658,1297,132,811959,1092648,363553,1751112
3659,1299,433,13896,1867,218731,70804
3660,1303,629,1190981,1171964,1644332,1272063
3661,1303,629,2130355,1282608,216152,813554
3662,1305,523,23,3961,5552,1783
3663,1306,67,163,103,104,360
3664,1308,22,5071,6232,26635,30748
3665,1309,40,619372,33585,604233,181309
3666,1309,40,2249892,113803,1447062,1665361
3667,1311,45,0,645,67309,255695
3668,1311,45,1,332,51897,10938
3670,1315,249,540369,172954,1492845,702512
3671,1315,249,27058,114,45784,672
3672,1318,47,2779,1340695,10308,427264
3673,1319,100,4174,7382,68891,89112
3674,1319,100,250690,314119,1822116,392405
3675,1323,850,1738,3657,4229,10900
3676,1323,850,4755,212,890,2428
3677,1327,1240,704,393,724,484
3678,1327,1240,2616,40,1020,5
3679,1333,287,1530,107,1559,326
3680,1333,287,633946,909801,147497,623080
3682,1335,149,5438,363,23036,6246
3683,1335,149,90587,1165,527168,467450
3685,1338,364,67946,101,120200,317
3686,1339,1,27,2395,2683,1326369
3687,1340,141,6700,1207,11290,2302
3688,1340,141,377672,13926,559947,98410
3690,1342,112,3313,589,4434,184
3691,1342,112,7220,18495,10188,78743
3692,1342,112,1252,869,2398,3772
3693,1343,374,2710,37,8696,747
3694,1343,374,539907,73534,1515014,869031
3695,1344,83,4982,710390,7027,699503
3696,1345,276,40763,319939,203303,21193
3697,1351,543,150177,4001,251748,13492
3698,1356,308,26457,209,26261,3173
3699,1357,43,1464849,817600,1929905,306590
3700,1359,374,1721,256,24329,3013
3701,1360,111,457,574,2399,2377
3702,1360,111,749428,1190709,529578,1298650
3703,1360,111,1188661,2109369,1504385,2040249
3704,1360,111,1572053,1241882,1887243,2200564
3705,1361,234,15208,519,54974,585432
3706,1361,234,1245536,1470542,1451183,1514642
3708,1367,168,2415,26235,2256,33888
3709,1367,168,1086,5045,7291,8923
3710,1368,468,171,312,1006,3040
3711,1370,458,1751625,1762700,937851,383809
3712,1372,66,3750,80272,1866,115846
3714,1376,1363,100996,23,1006801,2156622
3717,1378,1270,139,183171,164,127765
3718,1378,1270,921652,1424461,1336855,44927
3720,1385,330,1527336,307822,1583139,134968
3721,1385,330,107265,1245229,1830339,1924466
3722,1390,267,81,4924,42,215
3723,1390,267,40003,61904,19070,3128
3724,1390,267,314997,1362477,481417,1587188
3725,1391,32,6,2146,145069,331032
3726,1391,32,8203,180,1047597,1886266
3727,1392,27,461,6522,328,8228
3728,1393,7,1305,85559,873,13738
3729,1395,108,1138,78,19200,86211
3730,1398,432,430144,278699,34095,1303164
3732,1400,502,4249,3927,9564,3241
3733,1400,502,2119438,70019,461860,135918
3734,1401,196,2835,315386,204674,1077501
3736,1403,137,491,145,458,6
3737,1404,570,248399,14171,2622,78894
3738,1405,12,1056,55,683,11085
3739,1407,721,20722,43,1468854,1602248
3740,1407,721,248293,38,954617,343415
3741,1409,43,5979,3828,8385,66
3742,1411,40,1551,1540,5075,1750571
3743,1411,40,17413,617074,4092,1725099
3744,1413,1363,2324,691695,2219008,2104998
3749,1423,502,1622,6,3665,3784
3750,1428,387,996548,598090,1050680,863920
3751,1431,276,23,139,131652,54611
3752,1432,1024,7496,490,14386,14156
3755,1436,387,200889,92,112869,76779
3756,1437,660,212669,524978,130485,581254
3757,1439,2,86031,111549,42143,74067
3763,1441,214,3,50,6,960
3764,1441,214,1769,11,1770,390
3765,1441,214,10095,45,8340,231
3766,1441,214,238966,222615,528193,28294
3767,1442,37,393,408907,2655,80286
3768,1445,631,1696,434,1433,20
3769,1445,631,2131299,77060,1382453,263317
3771,1448,1188,163479,538313,206607,103322
3772,1448,1188,26562,271,15359,1255305
3773,1450,835,1689,19416,1558142,985679
3774,1450,835,123,2006,1634582,1034113
3775,1451,1005,1987,4783,10114,186039
3776,1451,1005,462,117,5155,39
3778,1454,243,294661,62628,1477234,1861671
3779,1454,243,240,479490,1291993,2130320
3780,1456,772,3130,264733,29892,595259
3781,1456,772,919540,2132409,2144576,2129089
3784,1461,24,5386,162454,9050,381961
3785,1461,24,300,93,14416,129765
3786,1461,24,1918412,2223358,1439640,1844720
3787,1462,631,955,509,247,730
3788,1463,120,0,151,1622668,1584082
3789,1464,1298,19613,123,13310,20600
3790,1465,197,184435,42660,39647,110505
3791,1467,988,4949,401,8412,1552
3792,1475,631,820,243,7600,9607
3793,1476,209,195380,1270012,2227038,2076809
3794,1477,32,11970,144,21695,292703
3795,1478,1121,247,816,1673,687
3796,1481,507,80603,2141,76966,16166
3797,1483,891,135786,347363,66240,493848
3798,1484,32,493197,1859314,164018,1008075
3799,1485,114,55158,42018,196258,3222
3801,1488,717,0,172,395725,35787
3803,1491,772,210,14150,51,50285
3807,1501,502,6553,446,43275,5530
3808,1503,185,2009246,867764,2205074,716383
3809,1504,673,2285,5538,12462,11263
3810,1504,673,974231,701840,1726122,1533523
3811,1504,673,30268,109,476602,10374
3813,1507,6,132459,124,16208,6522
3814,1517,68,2313,153,10547,9695
3818,1520,12,95,2043,782,711203
3819,1520,12,375677,4731,1089211,44672
3820,1528,0,1447901,1288889,2123696,2221583
3822,1532,5,558,52,214,333
3823,1533,543,17151,42357,11253,915764
3824,1535,1,69915,3631,37333,95186
3825,1540,82,5302,4170,30485,1991
3826,1542,362,79867,1518,24344,549
3829,1548,229,2607,53777,46232,22488
3830,1552,154,1118,2981,12914,16293
3831,1553,142,960044,627573,1310117,948256
3832,1554,854,7842,19,48497,4817
3833,1554,854,219219,288287,455435,65887
3835,1557,104,52,3018,37,4580
3836,1557,104,1554580,316699,1208749,116360
3837,1558,304,383,132299,205,297804
3838,1558,304,7167,419,6401,298
3839,1558,304,1277346,856122,153920,1761083
3840,1563,992,857191,1556825,1766954,1812672
3841,1566,807,325273,1831807,2234816,2208857
3842,1570,821,793732,225984,98276,1183670
3848,1581,203,189,2,1852715,1147025
3849,1581,203,1570344,647681,2165726,1535890
3850,1581,203,1071,6,1466215,327644
3852,1585,209,322,46905,207,1012884
3853,1586,71,227,3,16208,16405
3854,1587,957,10,249401,1967432,1095312
3859,1594,212,162434,1163,1705556,261884
3860,1595,62,289173,20376,1333157,267531
3861,1597,770,19009,60010,40524,487404
3863,1600,1496,1116797,1689104,1911384,889734
3866,1605,168,1468178,1290723,1659517,1494968
3867,1607,86,90,275247,1172,899448
3868,1607,86,607258,184056,1664,48829
3869,1607,86,498260,312589,1691075,325010
3871,1616,1588,261,9,398,13
3872,1618,25,135597,95829,148057,1596241
3873,1620,359,21054,1326980,11875,107262
3874,1621,168,1908230,1959968,1403585,1776381
3875,1622,501,1005946,878977,809375,1264902
3876,1623,16,527139,914827,1203931,1531133
3877,1631,765,90993,1879284,38941,246865
3878,1632,359,18032,77,12165,882213
3883,1638,0,372,4,341,3
3884,1638,0,46,1,434,1
3885,1639,109,4883,5290,182896,21463
3886,1640,194,15801,2064,15121,4028
3887,1640,194,45508,1913,53573,2665
3888,1641,12,194,44,11196,16624
3891,1645,701,2304,51,2860,40
3892,1646,295,1736334,1279532,1944883,1848214
3893,1646,295,24245,10677,47619,25180
3894,1647,1263,274,213,347,3643
3895,1649,620,8529,23,98160,274
3896,1651,0,702890,1983957,2079112,2238996
3897,1653,194,64,4792,137,3261
3898,1656,578,133099,1114,308782,4481
3899,1657,950,702,57,149,73
3902,1664,107,2049535,1798854,503926,560914
3903,1665,366,215640,217975,776445,339755
3904,1667,1233,1,17,236579,1656075
3905,1669,501,9427,348,59786,11808
3906,1671,31,416871,1878,1000539,1482098
3908,1676,534,1752,4272,13702,636378
3909,1677,398,100,70,316,294
3910,1677,398,2588,23,6218,191
3911,1677,398,30638,128167,189701,6184
3912,1679,1489,400799,237649,1535635,523809
3916,1690,1046,29277,186857,9740,331013
3917,1691,90,360,6,25946,931870
3918,1694,765,942333,244412,220735,180593
3919,1696,779,18573,16,21762,2
3920,1699,136,9551,14494,19922,143890
3921,1701,324,5741,161,7247,52816
3922,1703,503,308,258348,21060,684518
3923,1707,12,193,230576,2894,249167
3924,1707,12,783973,1539,468377,26815
3925,1709,120,620,7797,17159,240801
3926,1711,1530,2411,13286,486,23675
3927,1712,714,936,80,2384,7879
3928,1712,714,1451,3,425,9
3930,1718,940,14582,66639,18774,33626
3934,1722,26,310,16196,163,23916
3935,1722,26,15955,7272,3074,1810
3936,1723,397,293659,1279405,42461,1482866
3937,1724,154,1941,14,3620,464553
3939,1730,173,1397656,20139,357763,426432
3940,1730,173,12170,22623,56242,312179
3947,1737,222,31686,6799,1744,716
3948,1738,3,43909,17532,112446,1145796
3949,1739,93,0,1609,1,29149
3950,1739,93,1,6745,1,7908
3951,1740,393,5340,263,1071,182
3954,1742,754,103,1082,2301,307
3955,1744,0,134487,70495,227263,87283
3956,1748,590,591576,48,24234,57
3957,1758,168,24297,8314,18490,10481
3958,1759,177,3433,22945,272070,2000001
3961,1763,19,6931,832,1473,7129
3962,1765,502,766,2467,622,5668
3963,1765,502,471,1632,840,3122
3964,1767,54,104,32,3613,28260
3967,1779,250,1540226,2036325,1141058,1985730
3968,1780,250,169,26535,6200,2050179
3969,1781,446,14049,2312,24659,15042
3972,1784,359,4143,63418,34280,17847
3973,1784,359,1970456,294769,1466791,539071
3974,1785,333,232825,123102,864670,438242
3975,1789,486,1220,1509,2753,5179
3976,1789,486,19702,289,24207,722
3977,1791,324,3275,281,1096,50
3978,1797,432,720463,213733,910758,500722
3979,1800,144,2071331,1283697,1445686,1762640
3980,1801,757,1684728,344279,971726,218915
3981,1802,74,232,2335,340,2736
3982,1802,74,777399,865232,996606,695307
3983,1804,608,15059,312,94843,50286
3984,1804,608,1926929,911460,2080439,1295841
3985,1804,608,196219,311707,297884,582469
3988,1810,757,1067062,778438,1324700,1621923
3989,1812,501,371643,52561,1562524,1629307
3991,1817,374,1864,14785,880624,1732713
3993,1822,181,9479,92414,27859,1462083
3994,1826,241,1152,155,2278,2147
3998,1831,149,33629,217244,12106,705360
3999,1831,149,1002149,1423475,12579,456959
4006,1841,1140,40132,128,529236,256
4007,1843,404,481384,1525814,883800,575966
4008,1843,404,5,22,306,145
4009,1846,482,31928,6132,60999,131
4011,1850,620,548,1315,2046,6003
4012,1850,620,3613,1404,3081,3512
4013,1851,2,1836680,1598930,594481,2027112
4014,1853,1,9110,1218,38933,34729
4015,1854,154,1213941,901130,1188958,1375237
4017,1865,908,241723,1129061,188395,1428427
4018,1868,50,10959,8559,24468,30766
4019,1871,97,650,818,792,971
4020,1878,626,426,122,15495,5935
4021,1881,351,164089,1441161,55867,948292
4022,1883,308,6132,2185,31996,11040
4023,1885,143,1487552,753890,1199199,301342
4024,1886,447,195981,290827,148519,1040402
4025,1889,1420,2621,5268,4191,9234
4026,1889,1420,4,12,37106,123380
4027,1889,1420,1606565,305,180970,1204537
4028,1893,1864,1025143,1982038,392592,1401632
4030,1900,182,923,193023,37382,25368
4031,1902,398,2099182,1534884,855277,904881
4032,1903,0,44,607,600,2513
4033,1903,0,12857,846,12486,2739
4035,1909,54,1514401,1901119,1180254,1932742
4036,1910,746,6256,3937,4975,6640
4037,1911,12,6249,258,2712,10341
4041,1914,14,1736252,1109403,2140586,1219373
4042,1915,181,1753,596,59732,117387
4043,1916,503,962,29430,288616,2109921
4044,1916,503,11,101,13443,316281
4046,1925,470,1,4,558700,1252180
4047,1925,470,1,14,916916,1902482
4048,1928,105,20011,2943,14515,864209
4049,1930,570,40,4177,232,17116
4050,1930,570,10017,10,22658,1076
4052,1937,276,39755,43967,1576050,1155469
4053,1938,1334,758,1087,470,3274
4054,1938,1334,117,0,46,4510
4055,1940,292,3742,31666,9086,1162
4060,1945,168,1366677,2254788,1150745,1938482
4061,1946,85,30264,1349976,672362,227861
4062,1949,1225,1207,842,1349897,683982
4063,1960,246,50370,61547,131604,104925
4064,1962,177,273,14040,32871,8810
4065,1965,291,39,6,36021,28386
4066,1965,291,178362,136,19050,9942
4067,1969,570,1728732,1687801,1721496,1869535
4068,1977,772,1031,1360,180,11473
4069,1978,79,2923,2,7351,3054
4070,1982,175,1955,134,28869,2453
4072,1986,431,671,22,8133,1593
4073,1987,1508,7,63,63777,7448
4075,2001,109,3126,1499,576826,19568
4076,2001,109,1383057,41480,1809655,662800
4077,2005,584,127360,1762631,514066,2045361
4078,2006,486,29725,131,207329,1975
4079,2006,486,537438,2080,511724,5633
4080,2007,847,621,866,258,5633
4081,2007,847,2029442,1436440,1596951,249303
4082,2008,626,1471,99,1131,7916
4083,2008,626,138272,355,667308,304091
4084,2010,631,925,563,6799,4767
4085,2013,1111,61033,123838,14356,1525773
4088,2019,462,858,461,8142,3551
4089,2021,615,1373,3,10285,10175
4090,2022,1583,1,127,7450,31036
4091,2025,807,408,780,1476,728
4092,2027,154,1641774,2206298,529848,2094227
4093,2028,946,1917,44595,1516,21103
4094,2029,220,3241,164269,853,687855
4096,2034,46,328903,2377,67328,21652
4097,2040,870,5534,15604,1983,5339
4098,2040,870,31760,632775,50360,1554724
4099,2041,46,3332,690,28097,55892
4100,2044,394,250091,116,763096,1514
4105,2056,407,225,90,436,336
4106,2056,407,92,29,37330,1396
4108,2058,453,152,9046,33218,1532648
4109,2059,365,1377,901829,41827,308711
4110,2065,1045,1411,297,79516,115737
4111,2070,170,238,1,5692,1706
4112,2071,475,2732,17,33953,13655
4114,2073,847,666,203,726,1005
4115,2073,847,2200114,2071292,2071585,2092837
4117,2076,476,13,491,202,247
4119,2085,501,6140,5582,24925,199746
4120,2086,645,314155,1832,630301,31748
4121,2087,2016,3607,32,5460,53
4122,2088,2050,1013,1999,14280,19240
4123,2089,187,643,1851,927,436063
4124,2089,187,19308,66143,1253575,915720
4125,2089,187,422274,666930,339343,346109
4127,2092,392,21,3098,47441,12922
4128,2092,392,1031861,1280524,2105698,1949000
4129,2093,1588,110955,72904,493523,59353
4130,2093,1588,768407,2148,158677,1834889
4131,2094,924,9,155,1584576,1787727
4133,2097,1153,384454,404893,149279,717116
4134,2102,457,100484,1955491,146125,1402137
4135,2102,457,381,3119,309,5256
4136,2106,922,1496952,1446038,2075913,1255149
4137,2118,738,1578,1775,57793,17938
4138,2118,738,6571,98,16850,147484
4139,2119,779,1834,2993,16673,8007
4140,2119,779,253440,8939,401384,2005039
4141,2123,1510,210750,11449,310266,13030
4142,2125,267,1199,102,852,161
4143,2126,191,1256,143773,694,54170
4144,2126,191,20914,1536926,854253,1192935
4145,2127,199,1650,1,8913,15560
4146,2127,199,12000,0,236769,43280
4148,2135,772,1543,79,173709,53680
4149,2136,275,144354,2181531,113723,1851210
4150,2138,567,2169,4576,17484,2872
4152,2142,40,58286,27394,347496,1950529
4153,2142,40,80633,36909,111272,1541630
4154,2144,1238,1314015,429,267059,26
4155,2144,1238,309453,1629,809736,3701
4156,2145,354,1212605,3899,26438,153
4157,2146,26,2957,4,517,844
4158,2148,1412,9143,19081,20120,81615
4159,2148,1412,61,154180,1187393,461341
4160,2148,1412,1759494,1791148,1435570,1044929
4161,2151,10,864,485,1634,1510
4162,2151,10,5516,186826,815,5105
4163,2152,187,860,0,7032,8334
4164,2159,0,1645,378085,1486835,1776966
4165,2161,49,270290,56561,96446,2937
4166,2162,949,3142,3028,246122,25762
4167,2162,949,10717,1294,795684,178899
4168,2162,949,103593,682626,1015615,1607835
4169,2163,835,1423,942,2187827,719354
4170,2165,1629,67001,181,837453,1677
4171,2169,1543,304635,483076,1537299,127853
4172,2170,2103,1487835,2128970,208902,699011
4173,2173,170,370678,47011,480476,19176
4175,2187,733,436785,1,1311576,11
4176,2197,154,647,5545,292,1836
4177,2202,706,1169,322,3387,178043
4178,2208,260,1127492,1390916,227268,1514945
4179,2211,507,2081868,47050,922759,120355
4180,2216,295,1908,9947,3785,33719
4181,2217,868,1590,52,6847,278063
4182,2218,3,2754,295281,11853,23983
4183,2221,631,546,99942,1798916,1372953
4184,2221,631,1689,10818,18007,1146
4185,2221,631,53091,5356,237901,14401
4186,2224,1019,1330,38,18043,77
4187,2227,38,844,109,1267,482
4188,2233,2182,10125,19603,2916,259368
4189,2238,129,1366631,1376,682959,164
4190,2244,2124,648282,1967920,2038038,2095427
4191,2250,23,0,45364,612,60307
4192,2250,23,1,2917,9382,97086
4193,2251,168,1811,1112,44997,67615
4194,2251,168,11602,420462,2011376,578642
4195,2251,168,2129811,1132055,1825629,1361558
4196,2253,308,7524,532,220622,193275
4197,2262,181,27995,8657,13432,1405
4198,2263,42,832589,183,1784312,2260650
4199,2265,319,35908,2793,921432,1314979
4200,2269,1420,8012,0,590428,5018
4201,2270,5,562,1838754,990318,1391929
4202,2270,5,961694,759470,1822446,88160
4203,2270,5,23610,601651,162830,2213655
4205,2278,168,20632,7382,84357,7788
4206,2280,482,169692,156502,47889,41139
4207,2282,243,1562533,1320374,1272940,1664036
4208,2282,243,16746,149369,15650,189518
4209,2282,243,52581,64444,156100,508182
4210,2293,207,38,4813,1700440,1823645
4212,2299,199,848,86,9817,172480
4213,2303,291,2197,43375,9326,663921
4214,2306,1829,304879,72225,124278,768706
4216,2310,0,12422,74917,479696,18232
4217,2316,565,21633,186894,8116,118999
4218,2318,31,492,6,235,3133
4219,2319,3,256286,911,2231531,96764
4223,2332,359,1765648,1341516,1141293,1476622
4224,2332,359,65151,19206,58212,1784558
4225,2335,608,759499,2565,26077,1154086
4226,2345,543,44711,396826,1339303,2060362
4227,2346,5,4012,1141368,543852,526500
4230,2353,90,25564,42267,220149,1282844
4231,2356,618,5229,268259,4570,612674
4232,2360,1382,117201,686,522,148800
4233,2360,1382,168043,135504,824361,729434
4234,2363,0,1476040,23271,2093930,2147489
4235,2363,0,99960,1090193,2169998,26930
4236,2367,142,1989656,1645,1895532,144
4238,2369,1317,1621,796,2041,19910
4241,2373,292,10680,51354,3272,7732
4242,2374,538,62588,546,11675,5609
4243,2378,79,2653,0,97552,239
4244,2379,543,489,30377,6054,31995
4245,2380,1418,263,3802,24155,199547
4246,2381,705,1354472,1960139,1620227,2028680
4247,2383,669,528,3745,116,983
4250,2386,6,141021,130769,713974,45685
4251,2388,56,233,85274,6686,21833
4252,2388,56,6884,14556,1025752,2011809
4253,2389,74,1277105,709350,1207400,804209
4257,2393,149,2805,1552,1088,7334
4258,2394,1997,1107820,711920,1145793,1377176
4259,2400,22,648014,1710801,1286420,1555258
4260,2404,104,701705,68495,260489,143245
4261,2408,232,427203,1389,433880,534
4262,2417,600,79229,487,190267,1733
4265,2441,275,2006906,761422,2159188,2122194
4267,2443,1153,1867547,306194,571624,1585262
4268,2446,1944,41114,74661,25642,4358
4269,2446,1944,13999,48,26371,1845
4270,2447,559,45,25,277,755
4271,2454,821,514,130,1235368,153023
4272,2455,111,35353,2539,19328,15388
4274,2461,54,17704,816,10895,362741
4275,2462,574,73,13,72143,4267
4277,2464,109,617,3508,472513,11489
4278,2470,111,135,158,2574,1008
4279,2470,111,286827,116,303902,40088
4280,2472,142,754965,16240,82,268
4281,2478,863,2951,655,10836,58072
4283,2487,1496,1890,32220,30,499
4284,2489,946,350,90,4381,2665
4285,2493,233,155055,149,15261,1084063
4286,2496,446,13907,165,76984,384177
4287,2496,446,1581504,1357238,1339998,565452
4288,2500,22,866905,2241579,428709,132274
4289,2506,342,5,1,511,13156
4292,2512,2448,2,16824,2361,1028
4293,2516,1258,692156,139,168147,1166534
4295,2521,1736,9,231261,1141140,546443
4296,2525,366,155480,1352241,350186,975442
4299,2530,666,3813,7187,5569,998
4300,2532,167,132659,111,381225,1278744
4301,2533,387,15015,59005,85627,1161243
4302,2536,111,242206,1248581,803099,410063
4303,2540,456,8757,252668,4910,44229
4304,2543,319,84,6,3839,6498
4305,2543,319,2535,25391,4467,48469
4306,2547,457,2003501,1970324,2192970,1841815
4308,2553,58,264223,191,313581,1956388
4309,2561,1530,13295,50197,29326,29613
4310,2566,155,14932,599,3581,3269
4311,2572,714,48549,290810,10903,87140
4312,2575,1974,63,11,2237,7120
4313,2576,1929,374623,1911562,127479,2150943
4314,2578,623,266548,11634,393382,51014
4315,2579,629,24973,502682,443467,370809
4316,2580,139,18313,414,29588,437
4317,2582,112,3865,508,5485,674
4318,2584,74,1,7,106250,639928
4319,2585,153,1131948,22763,1578099,2162641
4320,2585,153,2215486,1229537,1902278,2201935
4321,2586,1,801,3,23510,38197
4322,2587,1217,1169,142746,5100,19041
4323,2589,561,461263,24730,449303,69746
4324,2593,40,549485,41120,1275618,989149
4325,2594,835,656,11649,380236,1934611
4326,2595,36,1181841,1678475,1771608,1933695
4327,2601,2551,1364866,1050671,1570601,295517
4328,2604,212,1187641,1801511,755803,1914760
4329,2606,1044,2,713,15,386
4331,2611,1000,1248423,57190,279421,80347
4332,2614,1650,801096,1097617,1393677,391496
4333,2616,74,1209313,901876,1872465,1725097
4334,2621,458,1021827,1694902,1624781,1111670
4335,2622,77,10108,3228,38910,11101
4336,2624,451,1158,290,99628,33378
4337,2627,228,1789244,881282,2198721,584363
4339,2638,5,480,12755,6799,10035
4340,2638,5,1861789,923408,938637,271541
4341,2640,218,265,153783,135,263834
4342,2640,218,6089,9994,11981,371257
4343,2642,82,16,16,5515,33499
4345,2650,153,42644,61984,272962,272290
4346,2651,453,1862973,2253564,1036342,2084309
4347,2654,957,60,41,15852,436513
4348,2656,112,687,44,782368,1959380
4349,2657,1222,8346,16936,3356,18774
4350,2658,541,940222,1261134,200793,30396
4351,2659,263,44363,710473,105830,15255
4352,2661,74,1340,30,203075,437752
4353,2663,62,521653,947,119547,12792
4354,2667,362,146779,249,409899,19300
4355,2674,14,28942,175,117129,1795280
4357,2679,108,723,5656,5177,177408
4358,2684,2409,2,46113,47,534921
4359,2684,2409,3807,2149075,89,1875743
4360,2685,0,13704,5454,1693,3092
4361,2687,2551,825581,890674,2100571,773382
4362,2692,7,13629,158,68790,217
4363,2692,7,1465211,343203,151614,26469
4364,2692,7,1388,947,874,589
4365,2699,100,1844691,32473,212527,11222
4366,2701,218,987,1379146,88,516976
4367,2701,218,4329,1,6448,298
4368,2702,1279,322,22,387,13
4369,2702,1279,8736,542,3817,1010
4370,2706,1365,51,23996,139,23281
4371,2709,957,372,23,2517,6904
4372,2713,501,4480,8876,3957,15109
4373,2720,207,671527,1658036,213377,1154426
4374,2726,475,31318,1949580,1858184,973528
4375,2735,462,6788,389,471,117
4378,2749,2320,7165,104,86023,3305
4379,2750,153,1523116,1067532,1482352,798631
