test_no,rel,rel_clustered,l_rank,r_rank,l_rank_clustered,r_rank_clustered
1157,51,19,10653,1068,127,172191
1158,51,19,160022,16342,96266,1953662
1159,51,19,37240,197042,375465,2248934
1160,52,19,333,135,361,553
1161,52,19,131,26,560,19888
1162,52,19,2200,70854,2108,233384
1163,52,19,1677,41,1349,31381
1164,52,19,8656,13,3956,11162
1165,52,19,2762,66,5832,177114
1166,52,19,22829,259,41648,126463
1167,52,19,535385,112,1881049,90226
1168,52,19,109145,104,900583,1208309
1190,55,40,2,6477,1,36799
1191,55,40,1,5147,0,26848
1192,55,40,1,9971,0,3121
1193,55,40,2,8114,0,9707
1194,55,40,1,39353,0,148830
1195,55,40,2,116506,0,86647
1196,55,40,1,226753,0,175082
1197,55,40,1,157113,0,274372
1198,55,40,0,153151,0,35822
1199,55,40,1,259440,0,325621
1200,55,40,1,108207,0,296607
1201,55,40,1,193432,0,134366
1202,55,40,1,282769,0,183919
1203,55,40,1,323373,0,371342
1204,55,40,1,199231,0,62880
1205,55,40,1,514260,0,630905
1206,55,40,2,342839,0,121812
1207,55,40,1,110826,0,47082
1208,55,40,1,168711,0,261337
1209,55,40,3,237321,0,285346
1210,55,40,1,697966,0,562653
1211,55,40,18875,91297,13298,995202
1223,57,19,1061,1625,1261,168664
1224,57,19,1604,50014,5417,2258802
1225,57,19,8325,1020,24583,400008
1236,59,6,70,164,177,54548
1237,59,6,309,50306,637,51221
1238,59,6,532,46,2272,27941
1239,59,6,4322,33183,299623,83006
1240,59,6,353,1324,10869,1279562
1241,59,6,76,28,143,12837
1242,59,6,8120,4700,18952,40562
1243,59,6,586314,75135,1801659,1826637
1244,59,6,2663,14519,48587,924004
1245,60,10,0,3771,144,42128
1246,60,10,0,5835,202,31041
1247,60,10,1,9721,1919,332536
1248,60,10,1,424756,169,237845
1249,60,10,0,87136,616,83766
1250,60,10,6,1321486,835,2251679
1251,60,10,0,82232,2033,485152
1252,60,10,27,2180141,1706,1022103
1253,60,10,7,497547,1710,91711
1254,60,10,43,108674,3958,258903
1255,60,10,4027,3976,3768,42803
1256,60,10,34833,488523,941929,228685
1292,65,1,22295,1012668,832122,1646340
1293,65,1,2923,28705,1501,15170
