id,l_rank,r_rank,index,h,t,r
2596,464,46159,1767,1360,160222,399
2597,1559189,1137573,8710,3600,2263884,399
2598,415,4,4073,6875,1396,399
2599,3585,5096,1047,507,11546,400
2600,11192,1840,3624,182090,16353,400
2601,715,8242,1095,1394,29973,401
2602,3767,339330,5553,226,118093,402
2603,1741887,964584,6782,1606,2263803,402
2604,15045,147191,38,107,49837,403
2605,1834813,305190,5570,852274,1649,403
2606,4661,1766905,676,46495,96730,404
2607,161,15994,7922,49550,740304,405
2608,376320,56015,4613,412885,6751,405
2609,2016,19,8151,238,175449,406
2610,226485,1145034,8708,1290,1330454,406
2611,25,662,8147,25618,1169827,406
2612,0,382,5777,76902,9654,406
2613,2991,140941,8713,548,40237,407
2614,2,641695,2145,0,2263562,408
2615,2,176174,2181,0,2263589,408
2616,1,503323,2215,0,2263618,408
2617,1,151855,2216,0,2263619,408
2618,10,1,8024,8137,5994,409
2619,314,110,5549,34470,120,409
2620,14194,563,5832,286,108985,410
2621,1920,14,9951,1437,9435,410
2622,3716,136805,2064,3618,21433,410
2623,1696,34832,8781,4284,238353,410
2624,4451,2371,226,6820,597860,410
2625,14005,8231,2888,12912,306065,410
2626,1173838,1721945,4846,304330,58509,410
2627,1250161,1880108,8030,707705,175040,410
2628,1603,4934,3335,212,605,411
2629,73,1985,1931,482,455,411
2630,4247,139044,3717,1823,147243,411
2631,0,1365,8208,37283,239019,411
2632,1732301,1019203,5372,234350,101320,411
2633,1944376,1276942,7780,365,2263847,412
2634,6230,191,4653,12505,1917,412
2635,121761,223814,5641,252386,56429,413
2636,4799,166,133,543763,441720,413
2637,996543,989241,5702,2,2263758,414
2638,133,211,2382,69,506285,414
2639,24800,30536,6166,205624,5615,414
2640,1944443,321,3943,272054,492154,414
2641,28220,716,7302,276072,3235,415
2642,226,136,6727,331013,2875,415
2643,100,380,7618,779,325,416
2644,65001,56404,3810,80486,167321,416
2645,18,27541,4920,11553,180908,417
2646,77042,1505933,8909,303360,249618,417
2647,1469073,1478184,7797,575483,253064,417
2648,748598,1609759,3477,846115,803,417
2649,602535,1245455,9709,2263180,855861,417
2650,1398590,659298,6474,694214,1363,419
2651,1734,5282,3789,45,200706,420
2652,27298,6392,1839,2864,426568,420
2653,55124,446848,1845,2396,440160,421
2654,0,350,2853,5702,14683,421
2655,747663,493831,7599,62704,1188887,423
2656,286,7770,5766,23373,86090,424
2657,1392745,1411080,2479,78,2263644,425
2658,470,125,2418,3563,35670,425
2659,2091125,1568411,7400,53680,402018,425
2660,42439,347893,5095,33,362588,426
2661,2339,5415,4815,176,19608,426
2662,260520,962254,6478,1026,382936,426
2663,240089,1227272,2245,218,435966,428
2664,2198252,2243144,8533,1102876,500286,428
2665,6833,3323,1363,2687,52,429
2666,7773,36390,3577,6796,24437,429
2667,2131741,1896410,8563,891612,313825,429
2668,426,319,8731,320,710,430
2669,4746,2838,5938,6667,132225,430
2670,549577,16652,6078,131149,369,430
2671,1256905,1105,9828,379985,702,430
2672,4551,393,8496,13414,24658,431
2673,113537,255055,2011,4635,31426,432
2674,781146,734249,585,678,598730,436
2675,54264,8228,6222,865959,37,436
2676,1366,1882,9964,1544,4094,437
2677,1,9122,7854,39,1416,439
2678,5,2092120,7842,39,157057,439
2679,9149,287193,1480,1173,2263537,440
2680,3681,21795,6643,19783,65496,441
2681,102876,488,8226,62741,6578,441
2682,380731,7552,7097,331996,1438,441
2683,1564255,75198,8008,54648,155534,442
2684,1722,1799,7877,157,6050,444
2685,769,44953,6490,456,135139,444
2686,393,1307,2346,1136,201,444
2687,353415,843363,6695,696461,2473,444
2688,139052,569468,7261,143475,4418,445
2689,161908,74576,8481,488746,14411,445
2690,2032251,1652979,8057,576815,79230,445
2691,667345,1744080,7283,1092153,5275,445
2692,200,2,7374,8213,13109,446
2693,3830,5,1156,115710,12869,446
2694,2006,7373,7217,4339,13557,447
2695,7990,12061,225,1232,85429,449
2696,3102,61840,4186,27031,1391783,449
2697,492,57,2474,4636,425,451
2698,2432,1623,6753,42,10904,452
2699,735,800866,2050,2481,2263556,452
2700,67,498424,6553,3835,1374948,452
2701,178,20,3644,129,500864,453
2702,1578960,27396,8720,202,1163390,453
2703,52,243,3627,8375,66298,453
2704,1,74,3370,14544,430548,453
2705,121,134,5527,1669,1663,454
2706,13933,479,639,14254,1244,454
2707,581,4731,1094,1884,9782,456
2708,1357105,682167,3267,2413,462207,456
2709,192682,3229,3870,164084,906,456
2710,202083,40392,4130,84664,98747,458
2711,612624,308725,4644,1286729,2698,458
2712,57,671,9758,278,33656,460
2713,1037120,1965432,6034,566,745911,460
2714,570601,287,2510,2263085,41962,460
2715,148,30,5615,4359,2310,462
2716,332,109,2294,21523,1615,462
2717,4219,1003,9156,56762,2652,462
2718,440,38,493,104,379,463
2719,20765,904,5025,3653,223140,463
2720,53,157143,4524,255,2263718,464
2721,216662,235432,2308,671368,2263635,464
2722,111,1360,8410,16140,574,465
2723,125,265,3797,45,168,466
2724,1262418,1196329,742,150,2263504,466
2725,895,33,7134,9969,28604,466
2726,0,719,3783,15314,87246,466
2727,74574,11543,4982,476175,6105,466
2728,56692,4155,1890,292,19489,467
2729,13,98,6587,9022,669,467
2730,69374,5138,6425,416993,31719,467
2731,97,9714,6306,692770,490874,467
2732,736,8985,2562,190,54109,468
2733,326331,1025910,2680,672442,117360,468
2734,256,1003,762,17,378,470
2735,2937,5869,5795,14607,23561,470
2736,314271,64,5177,125738,237879,470
2737,470597,227324,6379,868223,873,471
2738,611275,136700,5077,9338,1170732,472
2739,86935,250333,4959,684628,294426,472
2740,947,2,1784,36,8817,473
2741,1022363,790041,3359,285,616558,473
2742,775,48,6045,597,34215,473
2743,1068334,70,7333,206780,53190,475
2744,29853,1756717,594,322388,38729,475
2745,1906951,614120,3945,8561,2263692,476
2746,1948727,1248643,7539,16962,2263839,476
2747,2165,124385,7505,25614,188749,476
2748,51690,299728,6864,67577,21499,476
2749,881459,215004,7314,374557,1420359,476
2750,12951,1042307,2428,52547,1385465,477
2751,481,86889,276,94512,465363,477
2752,37,2392,2425,270750,153380,477
2753,54868,231209,8627,14148,1117677,479
2754,1305591,1305,4288,11470,482258,480
2755,73077,74,3373,16032,716893,480
2756,9276,8,2605,45225,44195,480
2757,4827,9,6065,78783,4666,481
2758,73074,257,3761,142405,582,481
2759,53501,34,5819,182974,13,481
2760,1866,10,3533,20355,491003,482
2761,32468,210965,4394,57321,930617,483
2762,765735,434427,670,269077,1128148,485
2763,76492,103,1888,68639,4715,486
2764,1666316,1573475,9239,979657,375147,486
2765,1707675,1637861,3293,2263089,64604,486
2766,866386,532493,6214,20618,2263777,487
2767,28400,2880,1914,25760,27193,487
2768,2254,1306,584,4967,48798,488
2769,7336,361,8679,8611,356,489
2770,3008,73,709,8827,2164,489
2771,107534,128342,8139,4416,168728,490
2772,37,359,6974,13598,15754,490
2773,3097,158,4099,104251,97270,490
2774,2365,125,4051,326814,97270,490
2775,1925,33372,6323,160,9686,491
2776,874,3,400,3871,6009,491
2777,3,382,7216,4804,67559,491
2778,48233,91968,5518,22134,57858,491
2779,1132091,397004,823,403922,1795,491
2780,716,69279,9094,17254,27221,492
2781,815,3022,828,558,4384,493
2782,14628,279655,1481,1173,580378,494
2783,43,1,1666,2651,689,495
2784,38483,86,4179,56298,1593,495
2785,784,1,8688,699,146,496
2786,213,2,1116,6708,146,496
2787,117,3,1041,24798,146,496
2788,1030,1,1371,181198,585,496
2789,5851,2,4075,679723,569,496
2790,29715,6,8956,894498,146,496
2791,1981,59314,9330,8872,43914,497
2792,1343,164791,6653,33786,59282,497
2793,18,838,3238,913,317084,498
2794,3,1723,2392,2979,18475,498
2795,27,167,6479,1026,53203,499
2796,1411,4223,7391,6020,21053,501
2797,2253820,1509187,1486,406669,12402,501
2798,545,19006,333,1244,40234,503
2799,966468,101495,1807,669086,1093593,503
2800,303,99,6820,3413,28,504
2801,12290,2065,3497,6178,5372,504
2802,23743,3150,4986,17311,184,504
2803,230451,25,6972,483522,3781,504
2804,438674,10953,8450,578467,133637,505
2805,1330,399,1696,4388,1228,506
2806,124830,1122,1211,1035790,3380,506
2807,59984,206,9010,207723,3053,507
2808,870,0,7210,120,32254,509
2809,6703,10217,855,5962,8442,509
2810,88,103,4763,413206,496229,513
2811,1195503,1725153,6979,7927,2263812,514
2812,4501,2248536,4409,16043,570849,514
2813,1225409,117620,8872,580019,2263889,514
2814,721317,526768,6348,693156,2263781,514
2815,11673,47,8567,255407,2631,516
2816,76034,34366,1396,2743,46351,517
2817,421089,31579,6825,38965,2334,517
2818,140,623,2711,41272,28479,517
2819,18159,954,6290,51848,9655,517
2820,636,108,5597,627,7573,518
2821,118,479,3003,3010,6234,518
2822,607129,333969,452,661289,2263500,518
2823,54515,2070,5437,70393,1841,519
2824,80281,584,8157,95525,544,519
2825,160112,223575,3324,441,580831,520
2826,6864,181418,2776,6045,199460,520
2827,805,566,2373,6113,1331,520
2828,52812,4282,3250,26814,13229,520
2829,281,2984,7896,2046,29007,522
2830,739,68731,2374,6002,78875,522
2831,322,39,7526,180,429438,525
2832,1373836,1110858,1022,2751,2263519,527
2833,3687,472,8509,3195,3149,528
2834,1464,325,5794,6829,13488,528
2835,8833,40,1530,155530,84068,528
2836,1313952,1686505,4225,1283491,45593,529
2837,24396,19461,3375,6434,44305,530
2838,13866,1988,7274,7988,784,530
2839,611191,6816,281,97405,491484,530
2840,985719,214381,2912,325220,28,530
2841,120965,69353,1804,155636,113719,531
2842,158,4,9093,1909,44,533
2843,117167,217597,9026,209856,6543,533
2844,81903,902,5264,23723,50234,534
2845,311876,1176089,6757,369440,217506,535
2846,1058929,14188,6431,417031,3469,535
2847,659,1036,9600,31748,434,536
2848,108976,60257,3674,28931,490373,538
2849,41370,499675,1411,29424,114472,538
2850,1844602,530968,4053,411644,764395,538
2851,972358,1433879,3244,471317,122634,538
2852,297129,1324004,4243,851239,14659,538
2853,24652,2517,1520,20109,893,540
2854,1825824,13094,2469,163571,1169070,540
2855,42437,141274,6332,693029,14058,540
2856,309169,56916,3813,1281203,4014,540
2857,35347,21067,4378,156447,382362,542
2858,1022013,1649936,4108,357,2263701,543
2859,756,595,7390,6020,4670,543
2860,2147814,1464981,5776,87212,1275964,544
2861,523634,38977,7940,372299,158178,544
2862,6618,682,2291,12711,16070,545
2863,983379,20081,3548,89498,933846,545
2864,23211,1255,5805,219144,29532,545
2865,37398,111,7631,112614,45978,546
2866,705304,79,643,826171,52563,546
2867,8169,582616,3944,3329,1436290,548
2868,2,195,7607,10587,10221,548
2869,27373,620,4136,14476,192664,550
2870,7542,1791632,8572,21424,336066,550
2871,54358,482,3321,89,11789,551
2872,114601,321149,2125,42900,64303,551
2873,1182,6512,7982,421877,36426,551
2874,1848503,1137628,1893,836520,1161575,551
2875,3010,3195,6897,50308,5372,552
2876,540,4662,9976,374583,4101,552
2877,0,9390,9784,1093,239814,553
2878,0,3528,9785,1093,917408,553
2879,0,5493,9783,1093,943730,553
2880,196,251003,1470,10764,95226,555
2881,342,392347,4889,2231,2263733,556
2882,1559,379,3394,3751,17520,556
2883,848,1927,433,843,153496,557
2884,11,22,8050,1343,669,558
2885,301035,5432,1525,216654,222216,558
2886,402,83,9362,2047,657,559
2887,1974591,548002,2723,2238,1132235,559
2888,716,142948,3459,203,233051,560
2889,251,8456,429,444,19497,560
2890,72,234,3960,928,2147,560
2891,54,316,5458,2468,1612,560
2892,97658,1006105,130,659444,12681,561
2893,1021319,410009,6826,722934,431281,561
2894,2053,69,485,5382,150252,562
2895,379202,129512,2875,82432,33785,562
2896,184,36,8601,221325,12940,562
2897,7896,99213,7254,327,296832,563
2898,373301,84425,5346,234321,570,569
2899,15220,862,7231,21986,581288,571
2900,14,131,9299,244,13603,572
2901,0,46,2019,17569,491612,572
2902,21,35,9080,65349,1844,572
2903,85336,849,9074,75758,1252,572
2904,542,74,1011,10651,229747,573
2905,1,1,3965,61308,78413,574
2906,3050,545,3549,130572,231186,574
2907,1512217,1514589,1703,834831,103548,574
2908,31627,3303,6791,8308,2988,575
2909,1726692,280636,1569,10310,234609,575
2910,18,859,4161,1596,75712,576
2911,3594,200,2034,22278,461,578
2912,1034277,567965,7590,373,928587,579
2913,3361,2410,9833,27730,68967,579
2914,151,377,7459,1268,138,580
2915,548,9,3920,13,841,581
2916,177,4,4622,978,841,581
2917,1270222,722772,5081,40327,2263740,581
2918,535444,375,6721,872806,841,581
2919,551913,12,6719,50297,187,582
2920,524779,60,8756,579610,187,582
2921,11968,839,1461,9390,141559,583
2922,4186,276,1637,15667,210,583
2923,2259857,3239,1751,835358,1144,583
2924,2107770,119060,5030,29452,463157,584
2925,116,39,5568,45332,103354,586
2926,94997,1531,4637,70333,212900,586
2927,154,45,7555,206890,431737,586
2928,2032,1447,9351,3130,7580,588
2929,313,1949,8386,302771,78427,589
2930,44816,51339,2796,1679,369083,592
2931,10149,30892,6846,4659,4837,593
2932,78,0,5856,415430,25634,593
2933,2151,645,3231,815,7845,594
2934,7563,227,2112,10441,322,594
2935,2218,363,4064,48693,310,595
2936,155776,484,8674,126692,75,595
2937,7813,14,1551,20581,4069,596
2938,4420,8,8952,50391,12956,596
2939,706195,1609,1991,1270893,53,596
2940,107808,323126,3484,123,1091535,597
2941,1126,903,4084,8129,32459,597
2942,0,64,8886,3547,95924,598
2943,0,318,209,15019,906618,598
2944,1433,146,3067,477,1188,599
2945,110,34,9445,514,60,599
2946,1976662,948649,5295,130958,354467,600
2947,21806,17222,211,503,11358,601
2948,71973,72637,8206,10411,536396,601
2949,1881655,2000761,4975,28215,479309,602
2950,913302,1463,1452,191514,6352,604
2951,0,2336,2415,1923,2263640,605
2952,0,163711,2416,1923,2263641,605
2953,11773,25639,8699,1290,424741,606
2954,240,11378,5690,2,27008,607
2955,60615,3737,4407,84698,5203,607
2956,39034,1541077,4841,9155,330541,609
2957,188612,1699,3222,155754,32341,609
2958,944,16928,1039,3748,50924,610
2959,4198,2023,5466,24076,2223,611
2960,32618,174229,5761,44,502587,612
2961,4651,9789,903,134,4012,612
2962,1443087,477082,2037,915,1356470,612
2963,751,426,3792,45,158547,613
2964,31288,171,538,23682,3,615
2965,1685380,1382761,3125,1050303,1489,615
2966,1895,9,6217,9464,8563,616
2967,229,7,2950,10440,936,617
2968,2100,55,8171,28741,189,617
2969,914,1,1707,2177,107394,619
2970,24520,7573,232,13576,9230,619
2971,4942,13,5406,55410,599357,619
2972,401981,10004,8602,303031,995,620
2973,367418,439483,9417,803774,2086,620
2974,507306,838282,7654,1095499,35839,620
2975,2714,184,6168,565816,132425,621
2976,3371,171,6951,2025,313,622
2977,62034,496,8626,303068,4987,622
2978,465,62,70,31,1311,623
2979,37401,391,9200,145771,965,623
2980,28687,86,5496,37204,38,624
2981,603982,406,6856,331367,185,624
2982,922446,13450,7159,879719,38490,624
2983,93265,21728,1517,1039204,427130,624
2984,3670,44799,403,6836,1405638,625
2985,1886693,4476,6893,56456,280425,625
2986,1528074,153493,7056,126242,1330221,625
2987,1790573,268277,6950,206452,1433027,625
2988,408,254,2611,1,1340,626
2989,446731,2076495,1357,548578,5262,626
2990,446,656,3714,76761,219,628
2991,604,23,7074,235926,24479,630
2992,90542,57485,4503,172921,48145,632
2993,74000,127934,5343,205339,2263747,633
2994,1797527,53765,9354,228005,4975,633
2995,34,112,4245,840,864,634
2996,3640,865,6506,112329,7793,634
2997,1133566,687122,6173,133,2263776,636
2998,226586,20,4129,411801,56581,636
2999,6593,0,1664,38837,791,637
3000,2099879,1403266,3550,130573,724069,638
3001,94152,999888,8054,707951,936262,638
3002,251,416,3302,464,2601,642
3003,220,2001,4958,1407,125024,642
3004,1043,5371,2593,8922,166208,642
3005,19968,253,5593,131027,1329,642
3006,5940,677467,8069,576898,862317,642
3007,42745,2392,3567,92071,7532,644
3008,1047,136,3380,4487,72709,645
3009,25023,1007580,8874,1323744,69115,645
3010,22490,33,6302,2263123,745135,645
3011,321968,35,6739,2263138,29123,645
3012,8073,79,6685,872221,1275,648
3013,17505,224724,1008,1022,604659,649
3014,3037,780,8639,6233,1047,649
3015,1217,1148,2934,363,306441,650
3016,1906,116988,5414,437,186438,650
3017,4551,65456,7763,11260,223822,650
3018,12980,16130,2869,12139,135324,650
3019,3118,4039,2969,187,934,652
3020,322,4043,806,10617,32075,652
3021,101,33,6532,600,178451,653
3022,1013409,1598557,9462,2552,2263899,653
3023,10047,2510,7802,59416,7,653
3024,0,90,8127,1310,9216,654
3025,0,8068,8126,1310,78232,654
3026,0,12528,8128,1310,310180,654
3027,57,19,6393,395,2048,655
3028,27136,285,7445,26630,733413,657
3029,92520,3775,1873,6176,241,659
3030,94943,1285390,4123,192705,162782,659
3031,142451,599262,8733,320,193912,660
3032,23,870,8299,466,14678,660
3033,940,674,9717,691,364,660
3034,9427,1584,4166,288,1156,661
3035,6332,127,7057,13770,210,662
3036,1940595,1498071,7268,52751,2263827,662
3037,264,1593,4273,1492,32657,663
3038,5591,538679,1190,26566,377290,663
3039,525089,5004,8375,221294,13324,663
3040,1106530,345191,7781,254726,494549,663
3041,269740,416630,1225,665372,742985,663
3042,282,20241,1178,11796,118601,664
3043,2191882,424541,5344,31144,972329,665
3044,5673,229760,9933,44207,74430,665
3045,31011,818176,7702,486336,119233,665
3046,10866,2429,210,503,212,666
3047,8145,266,8017,6601,510,666
3048,5984,349,3395,19626,726,666
3049,700,0,9947,157,1864,667
3050,2786,950,4518,1373,24,667
3051,1138702,127,74,190831,1864,667
3052,13,11346,3199,5,9484,668
3053,3516,13,7126,39910,2801,669
3054,268,161,6829,56399,2869,669
3055,4982,1798,808,405085,9309,670
3056,524718,861,7461,112590,1594,671
3057,19956,7208,1859,17298,5531,673
3058,9319,5,2876,19170,5368,673
3059,10620,3601,945,14128,68125,674
3060,25211,19,4726,68809,74820,674
3061,794918,802779,4502,10322,1325749,675
3062,47995,26,9575,42906,44,675
3063,233576,662148,445,61148,722778,675
3064,1852,291,2534,115995,166977,675
3065,1012991,1469346,6477,131262,21422,675
3066,632590,393020,9809,1079620,7352,675
3067,291063,14,5180,685952,166636,677
3068,1157788,941,6283,274372,52008,678
3069,5024,89,6845,4659,138042,680
3070,493895,2283,3033,156012,4100,680
3071,661,13744,3184,5,19867,681
3072,75,533,7250,11,1197,681
3073,144910,1139,4044,130661,8218,683
3074,52437,17422,5453,860219,6367,683
3075,827300,1721394,1936,1411735,3601,683
3076,6,22,7464,1944,3,684
3077,10855,143,6920,13154,431,684
3078,110,2424,7107,15756,26009,685
3079,8,134,607,171497,280119,686
3080,365,55,1276,231617,138195,686
3081,5426,4349,3898,3155,18521,688
3082,1477954,14083,3830,678563,496909,689
3083,2074,35,8310,384,8960,690
3084,28,15057,9619,5,762,691
3085,1226902,1434155,3188,5,2263660,691
3086,30053,15669,3468,13297,20801,691
3087,5596,256,752,65898,5906,691
3088,9586,19589,9296,11574,12185,693
3089,5438,188171,8119,1143,26001,694
3090,42031,598,6384,4113,3,694
3091,2553,8,9521,6795,3,694
3092,632,3,2619,1,3992,695
3093,57,88,4496,1646,83126,695
3094,1693885,21180,8502,49567,175396,695
3095,272,5798,2389,825,99007,696
3096,1233,24444,412,165,34216,697
3097,1303186,359275,7509,883460,2263838,700
3098,6590,14571,1623,26999,34012,701
3099,11818,8202,8812,121883,255316,701
3100,406721,518907,4297,8045,757656,703
3101,0,6,8818,579831,143016,705
3102,2815,3629,9945,5800,17601,706
3103,18,106945,1926,29430,2263550,706
3104,4273,1216467,1925,135866,1170263,706
3105,395,2,9983,24,372,708
3106,1115181,37910,3747,100959,1422622,711
3107,620180,887,849,322659,1419357,712
3108,268,104,3939,108,33167,713
3109,1915192,1835623,1100,82224,501451,714
3110,561919,1248757,6300,867247,24857,714
3111,285714,0,401,191008,963,715
3112,4789,22,2879,100846,8958,718
3113,19845,6286,2815,25564,3201,719
3114,168404,1062682,6637,27728,1049673,719
3115,2397,5,6888,1033,105704,720
3116,78,1,1069,1578,5448,720
3117,81984,172,4089,594583,131551,721
3118,2068616,3803,5645,896844,4868,721
3119,581,108749,7692,2222,94154,724
3120,1415,2081,1064,9389,46184,724
3121,309745,1347844,4218,680505,2409,724
3122,0,1119,3890,1457,86895,725
3123,1859,1928,6991,9306,19325,726
3124,651,1413,4695,31780,417,726
3125,49040,2082,9827,112203,16608,726
3126,693,26,782,1126,18634,727
3127,33261,1269,8823,101684,11612,729
3128,1927762,109336,9965,422747,33207,730
3129,7452,5451,896,17104,4362,731
3130,1642,259,5302,344,1197,732
3131,58152,567297,1290,831443,736734,732
3132,792996,7439,4380,364801,1419467,733
3133,2545,6242,9376,2414,10245,735
3134,1580,149591,4578,3979,96282,735
3135,13843,7395,8189,38554,14530,735
3136,134025,9811,1915,172018,8461,735
3137,206215,214,2030,324427,91,735
3138,44718,1221808,9692,34,749394,736
3139,326869,185,6450,274608,4192,736
3140,44,1492,6397,395,68125,740
3141,1662499,460680,4299,1284182,666,741
3142,76,11326,2851,225,336410,742
3143,257,8186,2848,225,936982,742
3144,4297,427984,2850,225,2263650,742
3145,30,386250,9491,5684,2263903,742
3146,208959,290886,7645,9488,97751,742
3147,172951,2988,9840,275145,18454,743
3148,852,155347,1106,26372,403211,744
3149,224,23,7393,184010,104573,745
3150,3243,642564,9768,257,153337,746
3151,38,188478,6585,8948,35234,746
3152,1095078,60751,4452,412549,2379,746
3153,349,161643,117,214,144453,747
3154,1857932,948899,3621,1131264,119437,747
3155,3321,386,6145,131161,169,748
3156,117772,19643,5942,19903,1421,750
3157,70,151,773,3651,3655,751
3158,1934680,70622,7082,57439,1173974,752
3159,409743,124918,4068,182048,337199,752
3160,4230,107626,4320,33410,254385,753
3161,1231121,18691,8220,1319619,1114410,757
3162,1782340,11672,7187,126292,34726,759
3163,12975,75,3955,1449,26,760
3164,267,21,5323,36341,39713,760
3165,973,4771,8675,556,5362,763
3166,524865,1379775,2127,361456,209201,765
3167,286618,933800,1570,1108625,538345,765
3168,3095,246,6535,33783,194649,767
3169,1456261,1256661,7240,11,2263825,768
3170,495,2371,9826,1888,2892,771
3171,622992,1968679,821,269204,246149,777
3172,238113,79231,1313,666172,738157,778
3173,723855,2031548,6339,1432,525762,780
3174,632,5173,9342,432,3213,781
3175,3776,2908,7784,1707,30965,781
3176,453342,169944,8578,85174,22250,782
3177,176896,1396115,6682,2263136,940433,782
3178,12,30344,908,134,77782,785
3179,2223,15255,6195,7,39447,786
3180,303166,746,5478,414768,620,787
3181,440843,648029,5470,298567,196569,788
3182,3,1889,3904,311,318,792
3183,5060,1136910,3903,311,702456,792
3184,5401,265,2447,16281,759,798
3185,8038,8309,5485,6446,52,799
3186,0,128,1901,2818,19276,800
3187,54,2909,1764,24243,185124,800
3188,1195,8,6440,1330,16306,801
3189,921,37,481,2883,378823,801
3190,1028,1,7030,571698,46134,801
3191,427,270,2615,1,6312,802
3192,1282,4850,1380,2378,783,802
3193,21946,88253,9926,7639,100696,802
3194,572,693,2761,19623,7547,803
3195,201,24,3971,85,69,804
3196,1289,4047,4444,1062,16632,804
3197,1427287,500767,678,5425,492139,804
3198,310231,719,6271,92398,69,804
3199,32,561,3801,45,2836,805
3200,1653,47,3056,115929,34563,805
3201,444,15,904,134,2624,806
3202,4,16,5895,643,4801,807
3203,16863,631,4875,75105,1433,808
3204,1027057,1378771,4178,910016,3081,808
3205,3,408,2296,267,418325,809
3206,1072047,1723161,3744,454,595733,810
3207,2243303,880414,6774,131369,2263800,811
3208,366098,58589,889,827655,154,811
3209,908612,321193,890,2263061,248,811
3210,66,140,5349,3933,21634,815
3211,682,138,2933,363,866,816
3212,30091,6428,5612,9523,14690,816
3213,21314,678,6523,25229,2704,816
3214,1293683,399925,6879,875418,1432027,817
3215,2783,1352,8023,1451,72,819
3216,15,955,8723,202,48895,820
3217,3368,541,968,3320,429922,821
3218,40125,365,5709,101186,115005,821
3219,253714,1990489,4607,111,1111845,822
3220,2202601,1615462,5567,98047,2263753,822
3221,35276,2737,4826,12178,164386,824
3222,119,322,9487,20097,2134,824
3223,266039,3723,3707,120702,33,825
3224,34487,723129,8483,27,366893,826
3225,1471,1043,9716,9967,65,826
3226,2144025,1657429,5949,367449,210332,828
3227,0,517,755,6824,75527,829
3228,866,1472492,819,192,907073,830
3229,138,49,4160,1596,3287,830
3230,1062,300,3767,6341,10962,831
3231,424235,2884,4565,327546,35248,831
3232,1158,1929,6772,3312,798,835
3233,6504,1384,4918,3528,181,835
3234,832,201,9679,3040,1317,836
3235,122,28,5738,278,10738,837
3236,43264,187,7468,14552,206,837
3237,53960,2001,5594,234514,324,837
3238,27456,2531,3433,97798,11559,838
3239,1163673,83204,6894,143311,122537,838
3240,848001,8034,8606,221461,325541,840
3241,79,620,2049,837751,746054,841
3242,533,816,3503,846315,380921,841
3243,513,181,156,1257514,496328,841
3244,613,70,4295,1283970,931835,841
3245,550709,264,3779,111852,18081,842
3246,2254,64,9767,1369,1978,845
3247,16639,202056,9157,181,776766,846
3248,192,35,5559,2049,122216,846
3249,21956,47,9658,30548,1096,848
3250,18272,2248040,17,2377,508374,849
3251,6642,72466,6155,1200,392677,850
3252,2236523,33757,9471,229660,364,850
3253,22859,1111588,6075,4322,267411,851
3254,1179,173,4265,119,3769,852
3255,7020,328,8605,63932,2391,854
3256,932864,671662,1849,324140,16995,854
3257,1494789,605570,7482,1351,1133913,856
3258,1382779,736119,6133,48038,1385136,856
3259,61807,158,5753,104498,268500,857
3260,14,59,3962,490,60275,859
3261,9,460,3963,490,98732,859
3262,0,135,2411,3788,89176,859
3263,1,406,2412,3788,107201,859
3264,2,58,3984,64838,70749,859
3265,37836,290604,5556,366836,30536,860
3266,3376,66125,3999,411555,15110,860
3267,20048,783,5230,15880,30259,861
3268,2003079,596897,4360,41811,2263708,863
3269,270683,168615,7262,101484,186602,863
3270,12781,905,3048,2529,4341,869
3271,1951283,570051,7916,51921,1261211,869
3272,1547100,1772666,7643,2263157,14118,869
3273,2038828,1125991,9075,16890,1199539,870
3274,1160697,6755,6801,19312,939417,871
3275,0,0,706,358836,76576,872
3276,4,0,53,659012,76576,872
3277,1744796,142229,5621,164660,455280,873
3278,402134,506955,6408,1077738,480699,874
3279,418,632,1262,10926,210,875
3280,5387,273,5521,20365,1614,875
3281,1357,1214,1195,70070,1425,875
3282,5953,3166,1223,155448,37292,875
3283,14883,309,4248,41308,21,876
3284,564629,1040837,6382,693499,5208,879
3285,3228,14933,8974,5083,116407,881
3286,36057,6288,3473,25974,783,883
3287,530967,12547,928,76542,271,883
3288,516417,20421,8997,580478,18450,883
3289,604,194,7224,2798,1327,884
3290,13599,31583,6589,10582,72068,884
3291,118199,112,9807,116735,7122,885
3292,27268,169912,8729,320,2263885,886
3293,4638,8621,5808,6920,14980,887
3294,292050,195273,4620,297217,14613,888
3295,244,148,9378,17900,643,889
3296,16687,700,8269,35646,466,889
3297,7030,63,3374,111784,31670,889
3298,143,71,8039,2405,6856,891
3299,3946,13222,1876,12644,17400,891
3300,2864,35371,103,16187,123758,893
3301,1531971,1777071,3820,2263100,1270,894
3302,4664,1373,3232,815,10516,896
3303,4181,10,8669,73792,295,897
3304,2362,298,4194,3589,57662,900
3305,105501,1324837,8181,1319056,26664,900
3306,1559314,91139,402,661068,2263499,901
3307,2746,163,3245,163852,75,902
3308,3356,29,1383,2226,4108,904
3309,54688,8375,8822,14623,358,904
3310,973324,6528,4196,156357,1314,904
3311,1645,6260,1624,27229,8133,905
3312,4649,10053,184,6056,153482,907
3313,215,66,1379,19749,2567,907
3314,24296,8173,7761,52685,29802,907
3315,33672,28747,13,44004,26494,908
3316,141283,665998,1806,407467,141579,909
3317,173143,7,3008,27243,467,912
3318,518492,1727114,1067,14858,52612,913
3319,216,10184,9761,33099,41161,913
