id,l_rank,r_rank,index,h,t,r
175,1684357,489306,8896,424006,429883,1
176,38323,1178,506,464256,7168,1
177,62873,5608,7588,486054,239579,1
178,346100,220523,1244,547962,9042,1
179,131037,14641,2741,552992,8861,1
180,1526419,8327,5537,563543,909962,1
181,258773,15650,351,660784,42953,1
182,1146720,1668617,503,661403,194873,1
183,270774,330813,1197,665100,27842,1
184,609060,1399585,847,827319,320811,1
185,271537,4998,1288,831408,4687,1
186,1003055,4944,4146,850595,427121,1
187,818676,107833,1165,1035109,177488,1
188,54278,241,1232,1036050,2981,1
189,270669,598204,1229,1264774,64765,1
190,2072637,559273,7341,12,1164776,2
191,596,22,8797,24,36452,2
192,498,2260,8484,27,56689,2
193,1302,300,1499,83,7602,2
194,8709,2513,907,134,44903,2
195,8846,7603,6308,220,45182,2
196,89,1969,7830,417,517,2
197,1667591,1346082,8120,466,927788,2
198,362,38,5074,581,77313,2
199,6210,11873,8841,1117,74096,2
200,1215,81,3208,1294,769,2
201,369471,687518,8829,1785,1151878,2
202,79281,4272,9034,2130,384392,2
203,247,1208,9730,2165,29566,2
204,1529,127,5509,3014,1352,2
205,1484468,2170123,7429,3071,449939,2
206,39974,176994,4955,3644,27042,2
207,1140,1834,7321,3686,1272,2
208,8355,38031,9676,3731,23042,2
209,2475,1407339,2116,3814,240220,2
210,13120,6850,4390,4055,429876,2
211,2599,342,5195,4162,132214,2
212,2168,63,348,4534,28533,2
213,879,819,1397,4937,27561,2
214,203,144,7079,4946,15980,2
215,7992,3719,7863,6166,140634,2
216,199,2990,4337,7222,15340,2
217,14963,242,9592,7638,10667,2
218,28137,8545,2097,8186,592996,2
219,519,14,4340,9248,322,2
220,4517,493,1676,9620,4274,2
221,166721,2284,3543,10546,338762,2
222,23458,1780,8566,11076,20155,2
223,1866,803,5996,11861,3310,2
224,31995,3048,7106,12508,54789,2
225,10959,392,599,15022,158769,2
226,4013,123,681,15306,9750,2
227,16306,375,5583,17046,3161,2
228,7225,85,5475,23379,2345,2
229,6134,168,6,34369,6237,2
230,271590,65680,7009,36832,99318,2
231,310,4685,1738,37552,543,2
232,33936,1863,9143,45598,88034,2
233,72136,6092,3732,46627,490,2
234,346663,91996,6733,68949,34955,2
235,18013,6468,2798,94780,50915,2
236,528644,8459,8616,98542,597442,2
237,8374,187791,901,100576,6078,2
238,6781,125539,631,115627,39177,2
239,737757,400781,654,155272,193489,2
240,251128,1388,563,180859,151924,2
241,1932919,29114,3524,192447,1134085,2
242,120689,528,6017,193691,81036,2
243,994469,23154,683,248550,918117,2
244,552038,12125,8922,374099,2623,2
245,491559,35393,8072,376421,1560,2
246,378788,13046,1295,404014,16627,2
247,708,34428,8642,489228,112096,2
248,1736132,60634,6153,565756,735464,2
249,495091,1302805,1887,669598,36490,2
250,572706,908449,7964,707097,10163,2
251,1693378,1867902,2953,842250,1765,2
252,7728,18,5155,857780,12117,2
253,684213,129608,8009,887294,127072,2
254,315664,628,290,1028893,29,2
255,1678630,1770916,6939,1086538,1141927,2
256,159007,231,5231,1162792,4904,2
257,1115138,877204,5804,1294302,378758,2
258,442334,1460548,786,1406945,23354,2
259,1014280,1532866,2130,2263084,722808,2
260,254368,954085,729,63,733459,3
261,504,10710,6392,395,2688,3
262,73,64,6396,395,16989,3
263,1267478,1573587,6395,395,2263785,3
264,1525373,1614560,5380,1295,509038,3
265,1153247,1239399,7768,1334,519773,3
266,51777,6263,4881,1413,61972,3
267,14293,1693,1583,1566,63077,3
268,15810,229,8439,2020,131,3
269,784873,991648,5324,2068,1116156,3
270,45,388,5758,2125,14547,3
271,89,3766,5757,2125,78989,3
272,358,91,5711,2793,465,3
273,18474,311717,6546,2958,319021,3
274,6,40,5971,4210,20636,3
275,3,1552,3496,4345,81760,3
276,19,4319,2897,4951,55292,3
277,41,5616,2896,4951,63685,3
278,12,445,2285,9517,12569,3
279,35,156,8419,11118,21240,3
280,219536,61781,778,11591,34511,3
281,3829,207,3775,17486,6864,3
282,3,162,1026,23194,1739,3
283,23068,2066,4754,25025,40322,3
284,120,290,5508,31163,12164,3
285,54368,27544,7157,31487,132234,3
286,1183656,1712604,6694,35246,2263797,3
287,94,3100,6883,37251,39210,3
288,164,67,7039,40380,5115,3
289,190,6,6405,41377,4668,3
290,80,499,2053,46574,18620,3
291,279,297,5121,46665,603,3
292,78,4157,1485,48639,74900,3
293,23072,8139,7270,49534,12244,3
294,139,2534,5282,51010,43904,3
295,69,52,5197,62544,3417,3
296,47342,1106,4421,67386,257745,3
297,835203,422,1426,94622,305185,3
298,2115912,633,2409,111616,223238,3
299,522,1443,6948,126210,10929,3
300,698926,2409,8580,126666,29067,3
301,1337652,364,8353,174626,4215,3
302,100184,1091,7722,236482,62122,3
303,1142722,547,6866,253665,24375,3
304,791,1464,2898,270582,10280,3
305,2127682,1260447,777,280151,1432784,3
306,63218,2833,1031,293727,1054,3
307,1720763,1468913,5018,297993,2263739,3
308,1718973,3439,5828,329234,11641,3
309,3262,92578,4339,364690,26593,3
310,430188,3040,6827,369639,8018,3
311,320795,267,3780,411073,8752,3
312,583638,648,5049,413730,209,3
313,349255,253653,7008,419322,119018,3
314,37233,22024,7145,484435,7723,3
315,1912136,182774,4557,559714,324850,3
316,58770,42493,6847,570251,1929,3
317,891870,2003671,4086,679809,558140,3
318,319945,18251,5112,857440,646,3
319,1063274,80216,6545,870020,540337,3
320,5212,7989,6713,872671,16002,3
321,228159,23063,7014,877585,1511,3
322,727779,2122352,7178,897270,67095,3
323,312000,4954,9856,1086365,8165,3
324,28737,6839,4079,1282607,1379,3
325,16564,3082,4593,34,588599,4
326,2093,87,6171,133,158,4
327,1746,7864,7880,157,115438,4
328,386,106,4192,186,81102,4
329,3102,505,3357,285,239217,4
330,3334,1935,4450,297,1518,4
331,528,9102,2338,388,10466,4
332,1375,12164,1049,507,3073,4
333,3144,20642,2829,522,0,4
334,29514,23,5464,616,12572,4
335,109211,787,7754,663,3089,4
336,2187,96,4539,818,10851,4
337,25667,31610,6358,991,12646,4
338,670620,924190,458,1565,1174729,4
339,2137,218,1108,2335,2686,4
340,235118,632368,8529,4272,167235,4
341,58049,16032,2842,7397,150862,4
342,418,2985,6220,9276,32336,4
343,22255,324,4233,10936,96,4
344,7314,629,7962,11863,868,4
345,101124,1206,5872,12464,166750,4
346,47815,326833,9163,12678,12493,4
347,208,49,8452,14210,397,4
348,820,167012,6678,15039,3692,4
349,11669,90,4768,19059,378,4
350,3165,198,4206,19765,3313,4
351,11033,2780,8114,21278,9856,4
352,615127,419,4558,26826,3016,4
353,6333,841,5452,30577,10928,4
354,1525271,1672161,3214,43508,701160,4
355,3434,1372,4835,47327,98782,4
356,175633,1450,7955,52776,96,4
357,575533,10601,5989,56407,426725,4
358,99058,21,9921,73692,2080,4
359,15,437304,7493,77087,679539,4
360,1979050,8267,7929,78969,739600,4
361,10405,33,2746,80407,11130,4
362,279740,463,7392,85063,158,4
363,2258469,1232787,343,86625,1432138,4
364,464391,607,3665,86991,3468,4
365,15466,1439,3914,125490,394460,4
366,125537,23,2719,136052,39508,4
367,643872,1206,2845,136080,1554,4
368,569589,2526,3479,172539,1518,4
369,63749,1,1319,203361,8710,4
370,1886971,816500,6778,206255,2263802,4
371,394914,2831,4847,297809,8655,4
372,512685,10863,2573,361825,1337624,4
373,2099944,1026,592,404711,432440,4
374,2116947,52792,1427,548900,304944,4
375,288399,1416,7259,702615,2584,4
376,1010121,1030672,1433,832807,1038115,4
377,1439550,1704128,4282,1279743,217798,4
378,161,53637,3194,5,17449,5
379,32460,22897,3202,5,600490,5
380,1051933,1492294,3173,5,2263658,5
381,185,172203,5910,298,39913,5
382,13946,2964,9092,396,41983,5
383,22,20311,152,590,15307,5
384,6009,769572,4294,623,477063,5
385,586,1680,9219,1207,962,5
386,1442818,812009,3467,1788,1422236,5
387,76,0,5150,1814,34930,5
388,6,2442,1742,2201,402,5
389,1252,669709,8876,2440,137743,5
390,249,2426,2873,3165,1876,5
391,3639,6978,4238,3506,224609,5
392,3993,8650,7817,5672,13730,5
393,1135,4944,289,6421,333551,5
394,38015,695,4354,16600,4232,5
395,13317,42944,9648,17039,15812,5
396,787020,12648,6571,19644,546466,5
397,219,5613,1378,19749,187540,5
398,235,584229,9846,21565,358439,5
399,1688091,948623,4737,30857,731331,5
400,1761020,877100,4810,38911,1145855,5
401,2050768,523,282,57127,58491,5
402,118425,7940,8738,66373,9998,5
403,1888858,11064,8038,82970,9601,5
404,48181,559,6053,87263,11027,5
405,56058,2382,5224,92259,29,5
406,1500,1257307,6097,252759,1173548,5
407,2147049,1842418,4057,326822,1026286,5
408,8058,7,5,543298,22434,5
409,284989,3,3690,556473,5644,5
410,99749,241817,2667,672400,1,5
411,385969,1548684,7915,1328350,104696,5
412,1592052,1824497,6375,2263125,47968,5
413,13666,11011,3941,108,26985,6
414,11217,1809,5482,864,2,6
415,6764,8344,7985,2944,535,6
416,20332,16770,772,3901,612,6
417,4759,138,1918,11592,620,6
418,15,18012,8370,12927,27905,6
419,88,1852084,8372,12927,474141,6
420,580,7295,5363,12978,80154,6
421,422,130536,5366,14082,450077,6
422,20,1654,4256,21247,41483,6
423,14,87,4674,36776,3418,6
424,158755,5201,3556,53479,41076,6
425,306917,143565,2714,63575,120389,6
426,53549,69326,9872,68981,2818,6
427,653,39,3576,70245,3182,6
428,129,123,3754,104206,34633,6
429,17504,107,7512,108598,134057,6
430,84,33,8714,112861,5802,6
431,11358,3024,7865,117077,19321,6
432,4578,541002,2422,130297,381869,6
433,2075871,4917,5402,142550,1756,6
434,16281,179,6566,143187,63987,6
435,16040,683,7041,220301,132300,6
436,13061,860,566,231115,29804,6
437,1394269,6133,1604,323797,1135235,6
438,1731600,166472,3247,362803,954348,6
439,10448,2875,5803,367152,309742,6
440,26961,1017906,5047,561474,9578,6
441,90004,16926,7975,576231,25690,6
442,1309537,30187,7820,581727,398287,6
443,4878,1707724,8821,893521,119671,6
444,69989,2103070,8304,1101031,39559,6
445,1469578,1551972,9166,1325466,212,6
446,23338,553039,2638,1,146680,7
447,366347,4198,7,55,12323,7
448,283,213,5555,226,1895,7
449,1287,464,5186,269,21895,7
450,1228,3090,1447,734,1613,7
451,88,1150,4094,966,465,7
452,99,357,2468,1075,587,7
453,151,1655,6156,1200,34036,7
454,878,162,4120,1851,12092,7
455,1593,5068,2278,2512,189777,7
456,5596,1016,6759,4702,16496,7
457,477,3964,580,6317,12343,7
458,5042,1144,8625,8333,38,7
459,38098,1221,5292,31143,1972,7
460,2123,7597,1690,48636,179,7
461,20812,1609,4953,62530,1682,7
462,86924,4790,3511,68738,93759,7
463,75375,1678,8333,95551,3235,7
464,30216,1412,145,124773,499,7
465,1608954,3010,9475,170660,4656,7
466,966998,116,8138,302495,41153,7
467,1492624,1446,565,404670,411,7
468,588004,5564,1292,406244,32223,7
469,23642,1309390,1521,406788,419886,7
470,1854065,510497,6158,865518,1411243,7
471,1751957,730305,8137,888441,22338,7
472,45943,93113,3122,1050294,301,7
473,1419,6442,2635,1,632,8
474,700,894,836,124,82105,8
475,741,288,5191,269,1846,8
476,155,905,4111,357,40935,8
477,168,1868,1080,1287,4491,8
478,122,829,396,1931,550,8
479,13744,1886,514,2076,595298,8
480,3048,455,1685,11369,3807,8
481,7920,444,3637,12269,1144,8
482,1072441,1708400,5260,28220,2263743,8
483,1225018,1288246,1848,47900,2263548,8
484,36451,181,8393,58459,5811,8
485,42050,113,2755,86887,6298,8
486,384872,64,5456,142857,113405,8
487,14645,68,8953,184711,1010,8
488,2544,180509,7736,102,365323,9
489,14639,1873825,7737,102,940828,9
490,2000,2194,3141,546,114890,9
491,4251,1057887,6711,644,1398597,9
492,3593,1898,434,843,271491,9
493,1263,13973,2472,1572,10717,9
494,9528,16167,8654,1573,7354,9
495,1439,9850,1970,4866,807,9
496,1687858,49262,7757,7266,704023,9
497,101,1640,2775,9122,362,9
498,355119,9997,9048,13608,64129,9
499,1,1743,6446,14273,1461,9
500,105017,1035349,520,28650,380745,9
501,21148,17743,3765,35949,3487,9
502,494202,55785,7777,43059,1718,9
503,241975,935913,1898,45215,92645,9
504,55,576,4795,55435,4510,9
505,10476,23646,2062,94737,145,9
506,693432,45613,2692,155907,226886,9
507,1399734,33520,3877,164088,6580,9
508,1704240,2075926,7821,173513,709464,9
509,90094,1232,9825,194102,79903,9
510,23710,1068150,6236,299380,221185,9
511,402521,515605,6237,299424,2263780,9
512,34324,1111030,6285,480079,296482,9
513,1259436,4526,7027,483776,134512,9
514,170619,83,2923,673623,386251,9
515,1815813,1772985,9820,870829,78,9
516,21711,1700,7350,43,51,10
517,31947,26829,1852,752,23585,10
518,690,157200,6192,1224,986454,10
519,2273,14524,9298,2802,3681,10
520,360,67747,7354,2874,59,10
521,16616,538,4544,4056,2746,10
522,656,114,863,5126,191,10
523,1039,1027,2947,8560,22,10
524,113023,310,3157,33718,21391,10
525,2126770,76,3379,59204,31984,10
526,98328,1161,4928,75109,260,10
527,4660,38600,7571,136804,2653,10
528,411829,9219,3448,163937,2500,10
529,2216321,15254,635,202983,104928,10
530,8811,1083706,6767,697263,4526,10
531,107762,2244523,6575,1301785,149138,10
532,677404,2036696,7275,1312168,124888,10
533,948116,288251,7185,1344086,2377,10
534,213,291,842,124,104596,11
535,593,96,2735,174,73665,11
536,1373,1536711,7551,576,45581,11
537,533,142,2437,1213,80508,11
538,1984,2086,4662,1263,654965,11
539,353,3797,4223,1529,48050,11
540,453146,227107,8579,1681,1149693,11
541,2198,219,9888,3680,8949,11
542,112,126,34,3866,103860,11
543,585,17,4005,4548,8067,11
544,1292,329,8350,5992,257840,11
545,7431,1064,1085,7857,380219,11
546,4856,38,2356,7912,5053,11
547,1326,637,4870,17405,5673,11
548,433,1996,1205,39304,18484,11
549,1460,49,1247,47878,17582,11
550,6342,46412,4681,53529,49872,11
551,23314,8430,8762,53722,171877,11
552,38947,29023,7554,58424,7,11
553,2189298,109733,5412,63662,1421150,11
554,7323,1482378,1405,103877,305302,11
555,1805926,858435,6216,104581,2263778,11
556,3152,4877,1286,107488,380214,11
557,8021,1857,1210,216424,46030,11
558,7252,65,1245,231580,75227,11
559,224455,3518,3894,250965,59357,11
560,26307,4573,1283,294022,422167,11
561,384581,1163,1200,466001,173806,11
562,6033,1358,3521,555852,339017,11
563,239059,44470,4611,559910,510982,11
564,1747531,1780977,7596,574809,1061831,11
565,647475,16669,1191,830174,13210,11
566,72307,3,4315,1143938,77562,11
567,107,538,3300,464,67911,12
568,3249,1098,9403,1821,374575,12
569,18931,3354,4836,1913,1160912,12
570,7553,309,8020,3101,8596,12
571,293,1331,3804,3373,39456,12
572,28,10,4956,3644,72236,12
573,1080544,1133620,8146,8332,2263863,12
574,25,490,8743,9788,19648,12
575,24595,4530,2271,15096,32486,12
576,458230,296092,4012,23043,338264,12
577,9562,2114,3749,28201,18341,12
578,62029,2715,6488,84941,13773,12
579,1130931,2121,6602,98223,906848,12
580,2399,1289065,2820,120559,415895,12
581,1957,1614,3886,130634,112362,12
582,1766063,137889,5374,182817,90977,12
583,34270,0,7706,193652,3298,12
